2020-06-29T21:18:57.680Z, 1593465537680, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:57.840Z, 1593465537840, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:18:57.998Z, 1593465537998, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:18:58.156Z, 1593465538156, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:18:58.318Z, 1593465538318, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:58.477Z, 1593465538477, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:18:58.637Z, 1593465538637, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:18:58.811Z, 1593465538811, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:18:58.853Z, 1593465538853, ea:39:da:f1:99:98, pr-3fe7, -60
2020-06-29T21:18:58.944Z, 1593465538944, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:59.279Z, 1593465539279, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:18:59.433Z, 1593465539433, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:18:59.596Z, 1593465539596, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:59.753Z, 1593465539753, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:19:00.064Z, 1593465540064, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:00.249Z, 1593465540249, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:00.395Z, 1593465540395, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:19:00.544Z, 1593465540544, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:00.704Z, 1593465540704, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:00.848Z, 1593465540848, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:19:00.995Z, 1593465540995, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:19:01.161Z, 1593465541161, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:19:01.468Z, 1593465541468, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:01.612Z, 1593465541612, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:01.778Z, 1593465541778, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:19:01.959Z, 1593465541959, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:02.104Z, 1593465542104, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:02.252Z, 1593465542252, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:02.571Z, 1593465542571, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:02.750Z, 1593465542750, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:02.878Z, 1593465542878, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:03.031Z, 1593465543031, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:03.189Z, 1593465543189, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:19:03.501Z, 1593465543501, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:03.657Z, 1593465543657, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:03.812Z, 1593465543812, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:19:03.970Z, 1593465543970, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:04.126Z, 1593465544126, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:04.289Z, 1593465544289, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:04.468Z, 1593465544468, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:19:04.603Z, 1593465544603, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:04.764Z, 1593465544764, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:04.924Z, 1593465544924, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:05.074Z, 1593465545074, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:05.387Z, 1593465545387, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:05.552Z, 1593465545552, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:19:05.714Z, 1593465545714, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:05.874Z, 1593465545874, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:06.025Z, 1593465546025, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:06.182Z, 1593465546182, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:06.332Z, 1593465546332, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:19:06.654Z, 1593465546654, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:06.812Z, 1593465546812, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:06.976Z, 1593465546976, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:19:07.127Z, 1593465547127, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:07.286Z, 1593465547286, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:07.441Z, 1593465547441, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:07.604Z, 1593465547604, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:07.757Z, 1593465547757, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:19:07.903Z, 1593465547903, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:08.063Z, 1593465548063, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:08.217Z, 1593465548217, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:19:08.384Z, 1593465548384, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:19:08.682Z, 1593465548682, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:08.838Z, 1593465548838, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:08.989Z, 1593465548989, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:09.163Z, 1593465549163, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:19:09.477Z, 1593465549477, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:09.950Z, 1593465549950, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:10.118Z, 1593465550118, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:10.259Z, 1593465550259, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:10.418Z, 1593465550418, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:19:10.581Z, 1593465550581, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:10.744Z, 1593465550744, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:10.896Z, 1593465550896, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:19:11.054Z, 1593465551054, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:19:11.362Z, 1593465551362, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:11.516Z, 1593465551516, ea:39:da:f1:99:98, pr-3fe7, -58
2020-06-29T21:19:11.708Z, 1593465551708, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:11.848Z, 1593465551848, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:19:11.985Z, 1593465551985, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:12.151Z, 1593465552151, ea:39:da:f1:99:98, pr-3fe7, -57
2020-06-29T21:19:12.467Z, 1593465552467, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:12.616Z, 1593465552616, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:12.779Z, 1593465552779, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:12.929Z, 1593465552929, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:19:13.245Z, 1593465553245, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:13.404Z, 1593465553404, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:13.569Z, 1593465553569, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:19:13.721Z, 1593465553721, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:13.879Z, 1593465553879, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:14.053Z, 1593465554053, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:19:14.360Z, 1593465554360, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:14.508Z, 1593465554508, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:14.663Z, 1593465554663, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:14.988Z, 1593465554988, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:15.142Z, 1593465555142, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:15.305Z, 1593465555305, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:19:15.462Z, 1593465555462, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:15.621Z, 1593465555621, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:15.771Z, 1593465555771, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:16.087Z, 1593465556087, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:19:16.244Z, 1593465556244, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:16.398Z, 1593465556398, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:16.720Z, 1593465556720, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:19:16.878Z, 1593465556878, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:17.046Z, 1593465557046, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:17.221Z, 1593465557221, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:19:17.521Z, 1593465557521, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:17.666Z, 1593465557666, ea:39:da:f1:99:98, pr-3fe7, -60
2020-06-29T21:19:17.851Z, 1593465557851, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:19:18.132Z, 1593465558132, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:18.299Z, 1593465558299, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:19:18.613Z, 1593465558613, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:18.768Z, 1593465558768, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:18.923Z, 1593465558923, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:19.084Z, 1593465559084, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:19:19.234Z, 1593465559234, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:19.398Z, 1593465559398, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:19.546Z, 1593465559546, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:19.710Z, 1593465559710, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:19:19.870Z, 1593465559870, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:19:20.029Z, 1593465560029, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:19:20.183Z, 1593465560183, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:19:20.348Z, 1593465560348, ea:39:da:f1:99:98, pr-3fe7, -60
2020-06-29T21:19:20.653Z, 1593465560653, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:19:20.805Z, 1593465560805, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:19:20.962Z, 1593465560962, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:19:21.119Z, 1593465561119, ea:39:da:f1:99:98, pr-3fe7, -60
2020-06-29T21:19:21.276Z, 1593465561276, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:19:21.438Z, 1593465561438, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:19:21.581Z, 1593465561581, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:19:21.733Z, 1593465561733, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:19:21.892Z, 1593465561892, ea:39:da:f1:99:98, pr-3fe7, -60
2020-06-29T21:19:22.045Z, 1593465562045, ea:39:da:f1:99:98, pr-3fe7, -60
2020-06-29T21:19:22.211Z, 1593465562211, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:19:22.365Z, 1593465562365, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:19:22.523Z, 1593465562523, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:22.672Z, 1593465562672, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:19:22.830Z, 1593465562830, ea:39:da:f1:99:98, pr-3fe7, -60
2020-06-29T21:19:22.990Z, 1593465562990, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:19:23.297Z, 1593465563297, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:19:23.455Z, 1593465563455, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:19:23.614Z, 1593465563614, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:19:24.086Z, 1593465564086, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:19:24.240Z, 1593465564240, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:19:24.408Z, 1593465564408, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:19:24.659Z, 1593465564659, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:19:24.734Z, 1593465564734, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:19:24.879Z, 1593465564879, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:19:25.190Z, 1593465565190, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:19:25.337Z, 1593465565337, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:19:25.500Z, 1593465565500, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:19:25.686Z, 1593465565686, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:19:25.817Z, 1593465565817, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:19:25.970Z, 1593465565970, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:19:26.136Z, 1593465566136, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:19:26.440Z, 1593465566440, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:19:26.604Z, 1593465566604, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:19:26.762Z, 1593465566762, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:19:26.913Z, 1593465566913, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:19:27.264Z, 1593465567264, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:19:27.388Z, 1593465567388, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:19:27.539Z, 1593465567539, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:27.701Z, 1593465567701, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:19:28.011Z, 1593465568011, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:19:28.328Z, 1593465568328, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:19:28.639Z, 1593465568639, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:19:28.804Z, 1593465568804, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:19:28.962Z, 1593465568962, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:19:29.140Z, 1593465569140, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:19:29.276Z, 1593465569276, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:19:29.440Z, 1593465569440, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:19:29.747Z, 1593465569747, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:19:30.066Z, 1593465570066, ea:39:da:f1:99:98, pr-3fe7, -69
