2020-06-29T21:20:43.896Z, 1593465643896, ea:39:da:f1:99:98, pr-3fe7, -55
2020-06-29T21:20:44.171Z, 1593465644171, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T21:20:44.323Z, 1593465644323, ea:39:da:f1:99:98, pr-3fe7, -75
2020-06-29T21:20:44.513Z, 1593465644513, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:20:44.669Z, 1593465644669, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:20:44.943Z, 1593465644943, ea:39:da:f1:99:98, pr-3fe7, -57
2020-06-29T21:20:45.130Z, 1593465645130, ea:39:da:f1:99:98, pr-3fe7, -54
2020-06-29T21:20:45.286Z, 1593465645286, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:20:45.588Z, 1593465645588, ea:39:da:f1:99:98, pr-3fe7, -56
2020-06-29T21:20:45.737Z, 1593465645737, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:20:45.914Z, 1593465645914, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:20:46.072Z, 1593465646072, ea:39:da:f1:99:98, pr-3fe7, -55
2020-06-29T21:20:46.241Z, 1593465646241, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:20:46.529Z, 1593465646529, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:20:46.684Z, 1593465646684, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:20:46.842Z, 1593465646842, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:20:47.008Z, 1593465647008, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:20:47.240Z, 1593465647240, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:20:47.498Z, 1593465647498, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:20:47.660Z, 1593465647660, ea:39:da:f1:99:98, pr-3fe7, -75
2020-06-29T21:20:47.812Z, 1593465647812, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:20:47.944Z, 1593465647944, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:20:48.127Z, 1593465648127, ea:39:da:f1:99:98, pr-3fe7, -70
2020-06-29T21:20:48.270Z, 1593465648270, ea:39:da:f1:99:98, pr-3fe7, -72
2020-06-29T21:20:48.432Z, 1593465648432, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:20:48.583Z, 1593465648583, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:20:48.904Z, 1593465648904, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:20:49.067Z, 1593465649067, ea:39:da:f1:99:98, pr-3fe7, -72
