2020-06-29T19:49:57.841Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:58.002Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:58.466Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:58.624Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:59.413Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:59.878Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:00.041Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:00.512Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:00.682Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:01.151Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:01.302Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:01.621Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:50:01.774Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:02.259Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:02.413Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:02.885Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:50:03.518Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:04.007Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:04.626Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:04.775Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:05.250Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:05.407Z, f0:eb:32:89:9a:aa, pr-3fe7, -77
2020-06-29T19:50:05.559Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:06.047Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:06.361Z, f0:eb:32:89:9a:aa, pr-3fe7, -81
2020-06-29T19:50:06.517Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:07.779Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:08.248Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:08.406Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:50:09.024Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:09.183Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:09.348Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:09.658Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:50:09.814Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:10.188Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:50:10.325Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
